TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/7/11 17:00,Dataset 1,10/7/11 17:00,10.59,0.111426,0.196878163,10.4526308,10.47912509,0.997471707,-0.002528293,10.59,11,0.11,1794.53,1794.53,10.56322538,1786.52,1775.304698,1767.497153
10/7/11 17:10,Dataset 1,10/7/11 17:10,10.72,0.115672,0.185794235,10.17587174,10.15940339,1.001620995,0.001620995,10.72,11,0.11,1829.24,1829.24,10.73737707,1834.58,1801.823465,1807.044789
10/7/11 17:20,Dataset 1,10/7/11 17:20,10.7,0.107477,0.172013357,10.52499898,10.41234553,1.010819219,0.010819219,10.7,11,0.11,1823.9,1823.9,10.81576564,1855.94,1810.831706,1842.52776
10/7/11 17:30,Dataset 1,10/7/11 17:30,11.12,0.116906,0.200506436,10.88550925,10.88674575,0.999886422,-0.000113578,11.12,11,0.11,1914.08,1914.08,11.11873701,1914.08,1883.37947,1883.377321
10/7/11 17:40,Dataset 1,10/7/11 17:40,11.01,0.105359,0.232106344,10.89272114,10.88943596,1.000301685,0.000301685,11.01,11,0.11,1904.84,1904.84,11.01332155,1904.84,1895.048592,1895.04804
10/7/11 17:50,Dataset 1,10/7/11 17:50,10.81,0.120259,0.203276953,10.38395495,10.25467618,1.012606812,0.012606812,10.81,11,0.13,1853.27,1853.27,10.94627963,1890.65,1817.235146,1853.985377
10/7/11 18:00,Dataset 1,10/7/11 18:00,10.84,0.119004,0.201186197,10.69831738,10.55795522,1.013294446,0.013294446,10.84,11,0.11,1861.28,1861.28,10.9841118,1898.66,1827.277941,1864.164211
10/7/11 18:10,Dataset 1,10/7/11 18:10,11.09,0.104599,0.225806529,10.96173997,11.03357478,0.993489434,-0.006510566,11.09,11,0.11,1911.56,1911.56,11.01779782,1905.68,1903.170085,1897.274603
10/7/11 18:20,Dataset 1,10/7/11 18:20,10.15,0.112315,0.208358663,9.742045594,9.707198032,1.003589868,0.003589868,10.15,10,0.11,1677.05,1677.05,10.18643716,1687.73,1661.366343,1671.506407
10/7/11 18:30,Dataset 1,10/7/11 18:30,9.73,0.127441,0.249534446,9.235491833,9.207541162,1.003035628,0.003035628,9.73,10,0.13,1534.13,1534.13,9.759536661,1545.56,1513.249578,1523.592405
10/7/11 18:40,Dataset 1,10/7/11 18:40,9.78,0.122699,0.209411861,9.779843464,9.697910653,1.008448501,0.008448501,9.78,10,0.13,1553.18,1553.18,9.862626343,1583.66,1534.645372,1562.618494
10/7/11 18:50,Dataset 1,10/7/11 18:50,9.94,0.120724,0.171879845,10.07967484,10.02645896,1.005307545,0.005307545,9.94,10,0.13,1614.14,1614.14,9.992756994,1633.19,1592.89983,1610.577425
10/7/11 19:00,Dataset 1,10/7/11 19:00,9.77,0.128966,0.208707056,9.727235476,9.673492281,1.005555718,0.005555718,9.77,10,0.13,1549.37,1549.37,9.824279365,1568.42,1525.705687,1542.717135
